what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735669953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735670445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735679594
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735679978
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735683180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735686951
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348735686982
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348735695557
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348735697690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735700871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735701375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735708811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735711667
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348735711695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348735728039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348735732622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348735734448
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348735736268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735737890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735738279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735739689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735743578
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348735743608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348735759960
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348735766952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735769388
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735769858
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1348735770806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735797287
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735804447
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348735804475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348735826377
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348735829154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735833799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735834284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348735835290
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736039720
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348736041217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736383871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736459439
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348736488820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348736507396
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348736509391
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736511764
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736512112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736513905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736591625
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348736592607
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348736609159
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348736610681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736612421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736612859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736613999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736829020
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348736830218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348736832772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348736832871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348736835315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348736835554
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1348736837468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736839488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736839918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736841167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736859722
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1348736859750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736873427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736968407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736970520
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736971831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736972999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736973726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736974395
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348736976351
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1348736976966
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1348736976967
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1348736976967
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1348736976967
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1348736976967
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1348736976967
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1348736976968
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1348736976969
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1348736976971
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1348736976972
